소관부처,이름코드,이름,전체기관명,최상위기관코드
1,1834600,10·29이태원참사진상규명과재발방지를위한특별조사위원회,10·29이태원참사진상규명과재발방지를위한특별조사위원회,1834600
2,1075000,5.18민주화운동진상규명조사위원회,5.18민주화운동진상규명조사위원회,1075000
3,1074601,가습기살균제사건과4.16세월호참사특별조사위원회,가습기살균제사건과4.16세월호참사특별조사위원회,1074601
4,1040000,감사원,감사원,1040000
5,1790365,개인정보보호위원회,개인정보보호위원회,1790365
6,B552557,게임물등급위원회,게임물등급위원회,B552557
7,1320000,경찰청,경찰청,1320000
8,1492000,고용노동부,고용노동부,1492000
9,1790364,고위공직자범죄수사처,고위공직자범죄수사처,1790364
10,1160156,공적자금관리위원회사무국,금융위원회 공적자금관리위원회사무국,1160100
11,1130000,공정거래위원회,공정거래위원회,1130000
12,1721000,과학기술정보통신부,과학기술정보통신부,1721000
13,1220000,관세청,관세청,1220000
14,1342000,교육부,교육부,1342000
15,1813266,국가교육위원회,국가교육위원회,1813266
16,1072600,국가교육회의,국가교육회의,1072600
17,1073500,국가균형발전위원회,국가균형발전위원회,1073500
18,1830000,국가보훈부,국가보훈부,1830000
19,1025000,국가안보실,국가안보실,1025000
20,00040,국가안전보장회의,국가안전보장회의,00040
21,1833100,국가유산청,국가유산청,1833100
22,1620000,국가인권위원회,국가인권위원회,1620000
23,1030000,국가정보원,국가정보원,1030000
24,1790399,국립보건연구원,질병관리청 국립보건연구원,1790387
25,1192266,국립수산과학원,해양수산부 국립수산과학원,1192000
26,1721137,국립전파연구원,국립전파연구원,1721000
27,1092000,국무조정실,국무조정실,1092000
28,1103000,국무총리비서실,국무총리비서실,1103000
29,1101000,국무총리실,국무총리실,1101000
30,1140100,국민권익위원회,국민권익위원회,1140100
31,1750000,국민안전처,국민안전처,1750000
32,1290000,국방부,국방부,1290000
33,1210000,국세청,국세청,1210000
34,1613000,국토교통부,국토교통부,1613000
35,9700000,국회,국회,9700000
36,9720000,국회도서관,국회 국회도서관,9700000
37,9710000,국회사무처,국회 국회사무처,9700000
38,9700209,국회예산정책처,국회 국회예산정책처,9700000
39,9735000,국회입법조사처,국회 국회입법조사처,9700000
40,1561000,군의문사진상규명위원회,군의문사진상규명위원회,1561000
41,1160100,금융위원회,금융위원회,1160100
42,1360000,기상청,기상청,1360000
43,1051000,기획재정부,기획재정부,1051000
44,1541000,농림수산식품부,농림수산식품부,1541000
45,1543000,농림축산식품부,농림축산식품부,1543000
46,1390000,농촌진흥청,농촌진흥청,1390000
47,1280000,대검찰청,대검찰청,1280000
48,9740000,대법원,대법원,9740000
49,1021100,대통령경호처,대통령경호처,1021100
50,1015000,대통령비서실,대통령비서실,1015000
51,1011000,대통령실,대통령실,1011000
52,1371000,문화체육관광부,문화체육관광부,1371000
53,1710000,미래창조과학부,미래창조과학부,1710000
54,B551157,민주평화통일자문회의,민주평화통일자문회의,B551157
55,1081000,민주평화통일자문회의사무처,민주평화통일자문회의사무처,1081000
56,1570100,방송통신위원회,방송통신위원회,1570100
57,1690000,방위사업청,방위사업청,1690000
58,1270000,법무부,법무부,1270000
59,9740029,법원행정처,대법원 법원행정처,9740000
60,1170000,법제처,법제처,1170000
61,1300000,병무청,병무청,1300000
62,1352000,보건복지부,보건복지부,1352000
63,B551032,비상기획위원회,비상기획위원회,B000000
64,1371045,사행산업통합감독위원회,문화체육관광부 사행산업통합감독위원회,1371000
65,1371046,사행산업통합감독위원회사무처,문화체육관광부 사행산업통합감독위원회 사행산업통합감독위원회사무처,1371000
66,1400000,산림청,산림청,1400000
67,1450000,산업통상자원부,산업통상자원부,1450000
68,1730000,새만금개발청,새만금개발청,1730000
69,1661000,소방청,소방청,1661000
70,B553891,수원도시공사,수원도시공사,B000000
71,1471000,식품의약품안전처,식품의약품안전처,1471000
72,1383000,여성가족부,여성가족부,1383000
73,1371026,예술원사무국,문화체육관광부 대한민국예술원 예술원사무국,1371000
74,1262000,외교부,외교부,1262000
75,1834100,우주항공청,우주항공청,1834100
76,1079960,원자력안전위원회,원자력안전위원회,1079960
77,1760000,인사혁신처,인사혁신처 ,1760000
78,1655000,일제강점하강제동원피해진상규명위원회,일제강점하강제동원피해진상규명위원회,1655000
79,1832000,재외동포청,재외동포청,1832000
80,1140206,정부합동민원센터,국민권익위원회 정부합동민원센터,1140100
81,1230000,조달청,조달청,1230000
82,1421000,중소벤처기업부,중소벤처기업부,1421000
83,9760000,중앙선거관리위원회,중앙선거관리위원회,9760000
84,1680000,진실화해를위한과거사정리위원회,진실화해를위한과거사정리위원회,1680000
85,1790387,질병관리청,질병관리청,1790387
86,1560100,친일반민족행위자재산조사위원회,친일반민족행위자재산조사위원회,1560100
87,1560010,친일반민족행위진상규명위원회,친일반민족행위진상규명위원회,1560010
88,1655500,태평양전쟁전후국외강제동원희생자지원위원회,태평양전쟁전후국외강제동원희생자지원위원회,1655500
89,1240000,통계청,통계청,1240000
90,1250000,통일부,통일부,1250000
91,1091000,특임장관실,특임장관실,1091000
92,1430000,특허청,특허청,1430000
93,1532000,해양경찰청,해양경찰청,1532000
94,1192000,해양수산부,해양수산부,1192000
95,1741000,행정안전부,행정안전부,1741000
96,1740000,행정자치부,행정자치부,1740000
97,1670000,행정중심복합도시건설청,행정중심복합도시건설청,1670000
98,9750000,헌법재판소,헌법재판소,9750000
99,1480000,환경부,환경부,1480000
